"ï..Antibiotic","Country","X..non.susceptibles","Intermediate","Nonsusceptible","tested","Pathogen","Resistant","SPECIMEN..Sample.","Susceptible"
"Ertapenem","Thailand","79%",1,0,14,"Klebsiella pneumoniae",10,"blood",3
"Cefepime","Thailand","63%",0,0,8,"Escherichia coli",5,"blood",3
"Cefepime","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"blood",0
"Cefoxitin","Thailand","13%",0,0,46,"Staphylococcus aureus",6,"blood",40
"Gentamicin","Thailand","42%",1,0,26,"Acinetobacter spp.",10,"blood",15
"Imipenem","Thailand","28%",30,0,246,"Acinetobacter spp.",40,"blood",176
"Imipenem","Thailand","31%",9,0,83,"Escherichia coli",17,"blood",57
"Imipenem","Thailand","2%",1,0,242,"Klebsiella pneumoniae",4,"blood",237
"Cephalosporins","Thailand","9%",1,0,85,"Escherichia coli",7,"blood",77
"Cephalosporins","Thailand","35%",3,0,244,"Klebsiella pneumoniae",82,"blood",159
"Carbapenems","Thailand","30%",0,0,86,"Acinetobacter spp.",26,"blood",60
"Carbapenems","Thailand","4%",2,0,242,"Escherichia coli",7,"blood",233
"Carbapenems","Thailand","14%",2,0,85,"Klebsiella pneumoniae",10,"blood",73
"Fluoroquinolones","Thailand","34%",0,0,245,"Escherichia coli",83,"blood",162
"Fluoroquinolones","Thailand","21%",1,0,86,"Klebsiella pneumoniae",17,"blood",68
"Levofloxacin","Thailand","60%",0,0,50,"Escherichia coli",30,"blood",20
"Levofloxacin","Thailand","48%",0,0,27,"Klebsiella pneumoniae",13,"blood",14
"Meropenem","Thailand","3%",2,0,240,"Acinetobacter spp.",4,"blood",234
"Meropenem","Thailand","13%",2,0,83,"Escherichia coli",9,"blood",72
"Meropenem","Thailand","46%",1,0,79,"Klebsiella pneumoniae",35,"blood",43
"Co-trimoxazole","Thailand","47%",0,0,43,"Escherichia coli",20,"blood",23
"Co-trimoxazole","Thailand","72%",4,0,98,"Klebsiella pneumoniae",67,"blood",27
"Tigecycline","Thailand","42%",10,0,95,"Acinetobacter spp.",30,"blood",55
"Amikacin","Thailand","26%",1,0,27,"Acinetobacter spp.",6,"blood",20
"Ampicillin","Thailand","38%",1,0,95,"Escherichia coli",35,"blood",59
"Ceftazidime","Thailand","33%",0,0,27,"Escherichia coli",9,"blood",18
"Ceftazidime","Thailand","33%",0,0,12,"Klebsiella pneumoniae",4,"blood",8
"Ceftazidime","Thailand","0%",0,0,1,"Salmonella spp",0,"blood",1
"Ciprofloxacin","Thailand","44%",1,0,89,"Escherichia coli",38,"blood",50
"Ciprofloxacin","Thailand","27%",0,0,26,"Klebsiella pneumoniae",7,"blood",19
"Ciprofloxacin","Thailand","65%",1,0,17,"Salmonella spp",10,"blood",6
"Colistin","Thailand","75%",0,0,4,"Acinetobacter spp.",3,"blood",1
"Colistin","Thailand","0%",0,0,1,"Escherichia coli",0,"blood",1
"Colistin","Thailand","15%",0,0,13,"Klebsiella pneumoniae",2,"blood",11
"Ceftriaxone","Thailand","33%",0,0,3,"Escherichia coli",1,"blood",2
"Ceftriaxone","Thailand","36%",21,0,97,"Klebsiella pneumoniae",14,"blood",62
"Ceftriaxone","Thailand","22%",1,0,27,"Salmonella spp",5,"blood",21
"Cefotaxime","Thailand","2%",0,0,95,"Escherichia coli",2,"blood",93
"Cefotaxime","Thailand","11%",0,0,27,"Klebsiella pneumoniae",3,"blood",24
"Cefotaxime","Thailand","43%",1,0,97,"Salmonella spp",41,"blood",55
"Doripenem","Thailand","30%",0,0,27,"Acinetobacter spp.",8,"blood",19
"Doripenem","Thailand","3%",0,0,95,"Escherichia coli",3,"blood",92
"Doripenem","Thailand","11%",0,0,27,"Klebsiella pneumoniae",3,"blood",24
"Doripenem","Thailand","39%",2,0,95,"Salmonella spp",35,"blood",58
"Ertapenem","Thailand","33%",0,0,27,"Escherichia coli",9,"blood",18
"Ertapenem","Thailand","48%",1,0,25,"Klebsiella pneumoniae",11,"blood",13
"Ertapenem","Thailand","60%",0,0,5,"Salmonella spp",3,"blood",2
"Cefepime","Thailand","1%",0,0,92,"Escherichia coli",1,"blood",91
"Cefepime","Thailand","7%",0,0,27,"Klebsiella pneumoniae",2,"blood",25
"Cefoxitin","Thailand","38%",0,0,39,"Staphylococcus aureus",15,"blood",24
"Gentamicin","Thailand","29%",0,0,7,"Acinetobacter spp.",2,"blood",5
"Imipenem","Thailand","77%",0,0,62,"Acinetobacter spp.",48,"blood",14
"Imipenem","Thailand","34%",0,0,62,"Escherichia coli",21,"blood",41
"Imipenem","Thailand","62%",0,0,13,"Klebsiella pneumoniae",8,"blood",5
"Imipenem","Thailand","17%",1,0,58,"Salmonella spp",9,"blood",48
"Cephalosporins","Thailand","23%",0,0,13,"Escherichia coli",3,"blood",10
"Cephalosporins","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Cephalosporins","Thailand","",0,0,0,"Salmonella spp",0,"blood",0
"Carbapenems","Thailand","24%",0,0,29,"Acinetobacter spp.",7,"blood",22
"Carbapenems","Thailand","50%",0,0,6,"Escherichia coli",3,"blood",3
"Carbapenems","Thailand","36%",0,0,22,"Klebsiella pneumoniae",8,"blood",14
"Fluoroquinolones","Thailand","33%",0,0,3,"Escherichia coli",1,"blood",2
"Fluoroquinolones","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"blood",0
"Fluoroquinolones","Thailand","6%",0,0,35,"Salmonella spp",2,"blood",33
"Levofloxacin","Thailand","0%",0,0,7,"Escherichia coli",0,"blood",7
"Levofloxacin","Thailand","34%",4,0,62,"Klebsiella pneumoniae",17,"blood",41
"Levofloxacin","Thailand","42%",0,0,12,"Salmonella spp",5,"blood",7
"Meropenem","Thailand","6%",2,0,62,"Acinetobacter spp.",2,"blood",58
"Meropenem","Thailand","8%",0,0,13,"Escherichia coli",1,"blood",12
"Meropenem","Thailand","35%",0,0,62,"Klebsiella pneumoniae",22,"blood",40
"Meropenem","Thailand","62%",0,0,13,"Salmonella spp",8,"blood",5
"Co-trimoxazole","Thailand","6%",2,0,62,"Escherichia coli",2,"blood",58
"Co-trimoxazole","Thailand","8%",0,0,13,"Klebsiella pneumoniae",1,"blood",12
"Tigecycline","Thailand","19%",1,0,58,"Acinetobacter spp.",10,"blood",47
"Ampicillin","Thailand","23%",0,0,13,"Escherichia coli",3,"urine",10
"Ceftazidime","Thailand","19%",1,0,37,"Escherichia coli",6,"urine",30
"Ceftazidime","Thailand","0%",0,0,7,"Klebsiella pneumoniae",0,"urine",7
"Ciprofloxacin","Thailand","0%",0,0,62,"Escherichia coli",0,"urine",62
"Ciprofloxacin","Thailand","8%",0,0,13,"Klebsiella pneumoniae",1,"urine",12
"Colistin","Thailand","59%",0,0,29,"Escherichia coli",17,"urine",12
"Colistin","Thailand","29%",0,0,7,"Klebsiella pneumoniae",2,"urine",5
"Ceftriaxone","Thailand","100%",0,0,13,"Escherichia coli",13,"urine",0
"Ceftriaxone","Thailand","54%",0,0,13,"Klebsiella pneumoniae",7,"urine",6
"Cefotaxime","Thailand","50%",0,0,2,"Escherichia coli",1,"urine",1
"Cefotaxime","Thailand","15%",0,0,13,"Klebsiella pneumoniae",2,"urine",11
"Doripenem","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Ertapenem","Thailand","",0,0,0,"Escherichia coli",0,"urine",0
"Ertapenem","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"urine",0
"Cefepime","Thailand","63%",0,0,8,"Escherichia coli",5,"urine",3
"Cefepime","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Imipenem","Thailand","71%",0,0,7,"Escherichia coli",5,"urine",2
"Imipenem","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cephalosporins","Thailand","",0,0,0,"Escherichia coli",0,"urine",0
"Cephalosporins","Thailand","25%",0,0,8,"Klebsiella pneumoniae",2,"urine",6
"Carbapenems","Thailand","",0,0,0,"Escherichia coli",0,"urine",0
"Carbapenems","Thailand","54%",0,0,13,"Klebsiella pneumoniae",7,"urine",6
"Fluoroquinolones","Thailand","0%",0,0,2,"Escherichia coli",0,"urine",2
"Fluoroquinolones","Thailand","14%",0,0,14,"Klebsiella pneumoniae",2,"urine",12
"Levofloxacin","Thailand","50%",0,0,2,"Escherichia coli",1,"urine",1
"Levofloxacin","Thailand","57%",0,0,14,"Klebsiella pneumoniae",8,"urine",6
"Meropenem","Thailand","50%",0,0,2,"Escherichia coli",1,"urine",1
"Meropenem","Thailand","14%",0,0,14,"Klebsiella pneumoniae",2,"urine",12
"Co-trimoxazole","Thailand","50%",0,0,2,"Escherichia coli",1,"urine",1
"Co-trimoxazole","Thailand","15%",0,0,13,"Klebsiella pneumoniae",2,"urine",11
"Ampicillin","Thailand","0%",0,0,2,"Escherichia coli",0,"urine",2
"Ceftazidime","Thailand","22%",0,0,9,"Escherichia coli",2,"urine",7
"Ceftazidime","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"urine",0
"Ciprofloxacin","Thailand","0%",0,0,13,"Escherichia coli",0,"urine",13
"Ciprofloxacin","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Colistin","Thailand","67%",0,0,6,"Escherichia coli",4,"urine",2
"Colistin","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Ceftriaxone","Thailand","81%",0,0,26,"Escherichia coli",21,"urine",5
"Ceftriaxone","Thailand","40%",1,0,25,"Klebsiella pneumoniae",9,"urine",15
"Cefotaxime","Thailand","46%",0,0,13,"Escherichia coli",6,"urine",7
"Cefotaxime","Thailand","16%",0,0,25,"Klebsiella pneumoniae",4,"urine",21
"Doripenem","Thailand","21%",1,0,14,"Klebsiella pneumoniae",2,"urine",11
"Ertapenem","Thailand","0%",0,0,3,"Escherichia coli",0,"urine",3
"Ertapenem","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cefepime","Thailand","57%",0,0,14,"Escherichia coli",8,"urine",6
"Cefepime","Thailand","40%",1,0,5,"Klebsiella pneumoniae",1,"urine",3
"Imipenem","Thailand","23%",0,0,13,"Escherichia coli",3,"urine",10
"Imipenem","Thailand","71%",1,0,7,"Klebsiella pneumoniae",4,"urine",2
"Cephalosporins","Thailand","",0,0,0,"Escherichia coli",0,"urine",0
"Cephalosporins","Thailand","10%",0,0,20,"Klebsiella pneumoniae",2,"urine",18
"Carbapenems","Thailand","29%",0,0,7,"Escherichia coli",2,"urine",5
"Carbapenems","Thailand","38%",2,0,24,"Klebsiella pneumoniae",7,"urine",15
"Fluoroquinolones","Thailand","46%",1,0,13,"Escherichia coli",5,"urine",7
"Fluoroquinolones","Thailand","8%",1,0,26,"Klebsiella pneumoniae",1,"urine",24
"Levofloxacin","Thailand","14%",0,0,14,"Escherichia coli",2,"urine",12
"Levofloxacin","Thailand","38%",0,0,26,"Klebsiella pneumoniae",10,"urine",16
"Meropenem","Thailand","57%",1,0,14,"Escherichia coli",7,"urine",6
"Meropenem","Thailand","12%",1,0,26,"Klebsiella pneumoniae",2,"urine",23
"Co-trimoxazole","Thailand","14%",0,0,14,"Escherichia coli",2,"urine",12
"Co-trimoxazole","Thailand","16%",0,0,25,"Klebsiella pneumoniae",4,"urine",21
"Ampicillin","Thailand","21%",1,0,14,"Escherichia coli",2,"urine",11
"Ceftazidime","Thailand","10%",0,0,20,"Escherichia coli",2,"urine",18
"Ceftazidime","Thailand","14%",1,0,7,"Klebsiella pneumoniae",0,"urine",6
"Ciprofloxacin","Thailand","0%",0,0,26,"Escherichia coli",0,"urine",26
"Ciprofloxacin","Thailand","0%",0,0,14,"Klebsiella pneumoniae",0,"urine",14
"Colistin","Thailand","46%",0,0,24,"Escherichia coli",11,"urine",13
"Colistin","Thailand","22%",0,0,9,"Klebsiella pneumoniae",2,"urine",7
"Ceftriaxone","Thailand","67%",0,0,6,"Escherichia coli",4,"urine",2
"Ceftriaxone","Thailand","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Cefotaxime","Thailand","0%",0,0,2,"Escherichia coli",0,"urine",2
"Cefotaxime","Thailand","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Doripenem","Thailand","50%",1,0,2,"Klebsiella pneumoniae",0,"urine",1
"Ertapenem","Thailand","0%",0,0,1,"Escherichia coli",0,"urine",1
"Ertapenem","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"urine",0
"Cefepime","Thailand","0%",0,0,3,"Escherichia coli",0,"urine",3
"Cefepime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Imipenem","Thailand","0%",0,0,3,"Escherichia coli",0,"urine",3
"Imipenem","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Cephalosporins","Thailand","",0,0,0,"Escherichia coli",0,"urine",0
"Cephalosporins","Thailand","0%",0,0,5,"Klebsiella pneumoniae",0,"urine",5
"Carbapenems","Thailand","0%",0,0,1,"Escherichia coli",0,"urine",1
"Carbapenems","Thailand","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Fluoroquinolones","Thailand","0%",0,0,2,"Escherichia coli",0,"urine",2
"Fluoroquinolones","Thailand","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Levofloxacin","Thailand","0%",0,0,1,"Escherichia coli",0,"urine",1
"Levofloxacin","Thailand","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Meropenem","Thailand","0%",0,0,2,"Escherichia coli",0,"urine",2
"Meropenem","Thailand","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Co-trimoxazole","Thailand","0%",0,0,2,"Escherichia coli",0,"urine",2
"Co-trimoxazole","Thailand","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Ampicillin","Thailand","50%",1,0,2,"Escherichia coli",0,"urine",1
"Ceftazidime","Thailand","0%",0,0,5,"Escherichia coli",0,"urine",5
"Ceftazidime","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Ciprofloxacin","Thailand","0%",0,0,6,"Escherichia coli",0,"urine",6
"Ciprofloxacin","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Colistin","Thailand","33%",0,0,3,"Escherichia coli",1,"urine",2
"Colistin","Thailand","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Ceftriaxone","Thailand","76%",0,0,114,"Escherichia coli",87,"urine",27
"Ceftriaxone","Thailand","28%",1,0,112,"Klebsiella pneumoniae",30,"urine",81
"Cefotaxime","Thailand","38%",1,0,21,"Escherichia coli",7,"urine",13
"Cefotaxime","Thailand","16%",1,0,104,"Klebsiella pneumoniae",16,"urine",87
"Doripenem","Thailand","0%",0,0,22,"Klebsiella pneumoniae",0,"urine",22
"Ertapenem","Thailand","0%",0,0,6,"Escherichia coli",0,"urine",6
"Ertapenem","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"urine",0
"Cefepime","Thailand","39%",0,0,49,"Escherichia coli",19,"urine",30
"Cefepime","Thailand","31%",0,0,13,"Klebsiella pneumoniae",4,"urine",9
"Imipenem","Thailand","24%",0,0,38,"Escherichia coli",9,"urine",29
"Imipenem","Thailand","14%",0,0,7,"Klebsiella pneumoniae",1,"urine",6
"Cephalosporins","Thailand","",0,0,0,"Escherichia coli",0,"urine",0
"Cephalosporins","Thailand","3%",0,0,59,"Klebsiella pneumoniae",2,"urine",57
"Carbapenems","Thailand","0%",0,0,9,"Escherichia coli",0,"urine",9
"Carbapenems","Thailand","26%",8,0,113,"Klebsiella pneumoniae",21,"urine",84
"Fluoroquinolones","Thailand","32%",0,0,22,"Escherichia coli",7,"urine",15
"Fluoroquinolones","Thailand","4%",3,0,114,"Klebsiella pneumoniae",2,"urine",109
"Levofloxacin","Thailand","13%",1,0,23,"Escherichia coli",2,"urine",20
"Levofloxacin","Thailand","29%",1,0,114,"Klebsiella pneumoniae",32,"urine",81
"Meropenem","Thailand","39%",1,0,23,"Escherichia coli",8,"urine",14
"Meropenem","Thailand","4%",3,0,114,"Klebsiella pneumoniae",2,"urine",109
"Co-trimoxazole","Thailand","13%",1,0,23,"Escherichia coli",2,"urine",20
"Co-trimoxazole","Thailand","17%",1,0,104,"Klebsiella pneumoniae",17,"urine",86
"Ampicillin","Thailand","0%",0,0,22,"Escherichia coli",0,"urine",22
"Ceftazidime","Thailand","20%",2,0,59,"Escherichia coli",10,"urine",47
"Ceftazidime","Thailand","0%",0,0,9,"Klebsiella pneumoniae",0,"urine",9
"Ciprofloxacin","Thailand","1%",1,0,112,"Escherichia coli",0,"urine",111
"Ciprofloxacin","Thailand","9%",0,0,22,"Klebsiella pneumoniae",2,"urine",20
"Colistin","Thailand","42%",0,0,53,"Escherichia coli",22,"urine",31
"Colistin","Thailand","25%",0,0,8,"Klebsiella pneumoniae",2,"urine",6
"Ceftriaxone","Thailand","86%",1,0,36,"Escherichia coli",30,"urine",5
"Ceftriaxone","Thailand","33%",0,0,33,"Klebsiella pneumoniae",11,"urine",22
"Cefotaxime","Thailand","20%",0,0,5,"Escherichia coli",1,"urine",4
"Cefotaxime","Thailand","26%",1,0,35,"Klebsiella pneumoniae",8,"urine",26
"Doripenem","Thailand","0%",0,0,5,"Klebsiella pneumoniae",0,"urine",5
"Ertapenem","Thailand","0%",0,0,4,"Escherichia coli",0,"urine",4
"Ertapenem","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"urine",0
"Cefepime","Thailand","33%",0,0,21,"Escherichia coli",7,"urine",14
"Cefepime","Thailand","50%",0,0,4,"Klebsiella pneumoniae",2,"urine",2
"Imipenem","Thailand","38%",0,0,26,"Escherichia coli",10,"urine",16
"Imipenem","Thailand","25%",0,0,4,"Klebsiella pneumoniae",1,"urine",3
"Cephalosporins","Thailand","0%",0,0,1,"Escherichia coli",0,"urine",1
"Cephalosporins","Thailand","6%",0,0,17,"Klebsiella pneumoniae",1,"urine",16
"Carbapenems","Thailand","25%",0,0,4,"Escherichia coli",1,"urine",3
"Carbapenems","Thailand","35%",0,0,34,"Klebsiella pneumoniae",12,"urine",22
"Fluoroquinolones","Thailand","33%",0,0,6,"Escherichia coli",2,"urine",4
"Fluoroquinolones","Thailand","3%",0,0,36,"Klebsiella pneumoniae",1,"urine",35
"Levofloxacin","Thailand","17%",0,0,6,"Escherichia coli",1,"urine",5
"Levofloxacin","Thailand","32%",0,0,38,"Klebsiella pneumoniae",12,"urine",26
"Meropenem","Thailand","33%",0,0,6,"Escherichia coli",2,"urine",4
"Meropenem","Thailand","3%",0,0,36,"Klebsiella pneumoniae",1,"urine",35
"Co-trimoxazole","Thailand","17%",0,0,6,"Escherichia coli",1,"urine",5
"Co-trimoxazole","Thailand","26%",1,0,35,"Klebsiella pneumoniae",8,"urine",26
"Ampicillin","Thailand","0%",0,0,5,"Escherichia coli",0,"urine",5
"Ceftazidime","Thailand","33%",2,0,24,"Escherichia coli",6,"urine",16
"Ceftazidime","Thailand","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Ciprofloxacin","Thailand","0%",0,0,30,"Escherichia coli",0,"urine",30
"Ciprofloxacin","Thailand","0%",0,0,5,"Klebsiella pneumoniae",0,"urine",5
"Colistin","Thailand","42%",0,0,26,"Escherichia coli",11,"urine",15
"Colistin","Thailand","33%",0,0,3,"Klebsiella pneumoniae",1,"urine",2
"Ceftriaxone","Thailand","66%",0,0,67,"Escherichia coli",44,"urine",23
"Ceftriaxone","Thailand","29%",0,0,66,"Klebsiella pneumoniae",19,"urine",47
"Cefotaxime","Thailand","19%",1,0,26,"Escherichia coli",4,"urine",21
"Cefotaxime","Thailand","17%",1,0,63,"Klebsiella pneumoniae",10,"urine",52
"Doripenem","Thailand","7%",0,0,27,"Klebsiella pneumoniae",2,"urine",25
"Ertapenem","Thailand","0%",0,0,3,"Escherichia coli",0,"urine",3
"Ertapenem","Thailand","0%",0,0,3,"Klebsiella pneumoniae",0,"urine",3
"Cefepime","Thailand","45%",0,0,33,"Escherichia coli",15,"urine",18
"Cefepime","Thailand","6%",0,0,16,"Klebsiella pneumoniae",1,"urine",15
"Imipenem","Thailand","30%",0,0,30,"Escherichia coli",9,"urine",21
"Imipenem","Thailand","36%",0,0,14,"Klebsiella pneumoniae",5,"urine",9
"Cephalosporins","Thailand","",0,0,0,"Escherichia coli",0,"urine",0
"Cephalosporins","Thailand","3%",0,0,38,"Klebsiella pneumoniae",1,"urine",37
"Carbapenems","Thailand","12%",0,0,17,"Escherichia coli",2,"urine",15
"Carbapenems","Thailand","29%",4,0,66,"Klebsiella pneumoniae",15,"urine",47
"Fluoroquinolones","Thailand","11%",0,0,27,"Escherichia coli",3,"urine",24
"Fluoroquinolones","Thailand","3%",2,0,67,"Klebsiella pneumoniae",0,"urine",65
"Levofloxacin","Thailand","4%",1,0,27,"Escherichia coli",0,"urine",26
"Levofloxacin","Thailand","33%",0,0,67,"Klebsiella pneumoniae",22,"urine",45
"Meropenem","Thailand","26%",1,0,27,"Escherichia coli",6,"urine",20
"Meropenem","Thailand","4%",2,0,67,"Klebsiella pneumoniae",1,"urine",64
"Co-trimoxazole","Thailand","11%",1,0,27,"Escherichia coli",2,"urine",24
"Co-trimoxazole","Thailand","17%",1,0,63,"Klebsiella pneumoniae",10,"urine",52
"Ampicillin","Thailand","7%",0,0,27,"Escherichia coli",2,"urine",25
"Ceftazidime","Thailand","16%",0,0,38,"Escherichia coli",6,"urine",32
"Ceftazidime","Thailand","11%",0,0,18,"Klebsiella pneumoniae",2,"urine",16
"Ciprofloxacin","Thailand","0%",0,0,64,"Escherichia coli",0,"urine",64
"Ciprofloxacin","Thailand","0%",0,0,25,"Klebsiella pneumoniae",0,"urine",25
"Colistin","Thailand","41%",0,0,34,"Escherichia coli",14,"urine",20
"Colistin","Thailand","29%",0,0,17,"Klebsiella pneumoniae",5,"urine",12
"Ceftriaxone","Thailand","83%",0,0,42,"Escherichia coli",35,"urine",7
"Ceftriaxone","Thailand","28%",0,0,40,"Klebsiella pneumoniae",11,"urine",29
"Cefotaxime","Thailand","33%",0,0,3,"Escherichia coli",1,"urine",2
"Cefotaxime","Thailand","28%",0,0,40,"Klebsiella pneumoniae",11,"urine",29
"Doripenem","Thailand","33%",1,0,3,"Klebsiella pneumoniae",0,"urine",2
"Ertapenem","Thailand","0%",0,0,9,"Escherichia coli",0,"urine",9
"Ertapenem","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"urine",0
"Cefepime","Thailand","36%",0,0,25,"Escherichia coli",9,"urine",16
"Cefepime","Thailand","33%",0,0,3,"Klebsiella pneumoniae",1,"urine",2
"Imipenem","Thailand","43%",0,0,21,"Escherichia coli",9,"urine",12
"Imipenem","Thailand","50%",0,0,2,"Klebsiella pneumoniae",1,"urine",1
"Cephalosporins","Thailand","0%",0,0,1,"Escherichia coli",0,"urine",1
"Cephalosporins","Thailand","13%",0,0,23,"Klebsiella pneumoniae",3,"urine",20
"Carbapenems","Thailand","",0,0,0,"Escherichia coli",0,"urine",0
"Carbapenems","Thailand","26%",0,0,38,"Klebsiella pneumoniae",10,"urine",28
"Fluoroquinolones","Thailand","33%",0,0,3,"Escherichia coli",1,"urine",2
"Fluoroquinolones","Thailand","5%",0,0,42,"Klebsiella pneumoniae",2,"urine",40
"Levofloxacin","Thailand","0%",0,0,3,"Escherichia coli",0,"urine",3
"Levofloxacin","Thailand","34%",0,0,41,"Klebsiella pneumoniae",14,"urine",27
"Meropenem","Thailand","33%",0,0,3,"Escherichia coli",1,"urine",2
"Meropenem","Thailand","7%",0,0,42,"Klebsiella pneumoniae",3,"urine",39
"Co-trimoxazole","Thailand","0%",0,0,3,"Escherichia coli",0,"urine",3
"Co-trimoxazole","Thailand","29%",0,0,41,"Klebsiella pneumoniae",12,"urine",29
"Ampicillin","Thailand","33%",1,0,3,"Escherichia coli",0,"urine",2
"Ceftazidime","Thailand","28%",1,0,25,"Escherichia coli",6,"urine",18
"Ceftazidime","Thailand","50%",1,0,2,"Klebsiella pneumoniae",0,"urine",1
"Ciprofloxacin","Thailand","0%",0,0,40,"Escherichia coli",0,"urine",40
