"Species","syndrome","Country","Year","variable","n","rate_r","Prop_Syn","Dataset"
"Enterobacter cloacae","c.uti","Greece",2017,"Aminopenicillins",13,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Cefuroxime",13,0.307692307692308,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Aminoglycosides",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Jordan",2017,"Carbapenems",2,0.5,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Aminopenicillins",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Cephalosporins",3,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Japan",2017,"Cephalosporins",5,0.4,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Meropenem",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Ceftriaxone",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Meropenem",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Aminoglycosides",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Carbapenems",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Fluoroquinolones",5,0.6,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Aminoglycosides",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Meropenem",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Aminopenicillins",4,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Fluoroquinolones",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Aminoglycosides",13,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Levofloxacin",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Cefuroxime",16,0.4375,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Ceftriaxone",3,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Cefuroxime",3,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Meropenem",9,0.111111111111111,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Levofloxacin",16,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Carbapenems",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Amoxicillin",13,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Italy",2017,"Ceftriaxone",21,0.428571428571429,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Jordan",2017,"Ceftriaxone",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Aminopenicillins",14,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Aminopenicillins",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Canada",2017,"Aminopenicillins",10,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Carbapenems",9,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Carbapenems",13,0.0769230769230769,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Aminopenicillins",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Aminoglycosides",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Co-amoxiclav",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Carbapenems",9,0.111111111111111,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Levofloxacin",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Carbapenems",3,0.333333333333333,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Carbapenems",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Italy",2017,"Levofloxacin",21,0.0952380952380952,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Co-amoxiclav",16,0.875,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Mexico",2017,"Cephalosporins",4,0.5,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Meropenem",9,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Aminoglycosides",5,0.2,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Carbapenems",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Co-amoxiclav",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Cefuroxime",5,0.6,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Aminopenicillins",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Jordan",2017,"Meropenem",2,0.5,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Cefuroxime",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Co-amoxiclav",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Ceftriaxone",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Ceftriaxone",16,0.4375,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Fluoroquinolones",13,0.0769230769230769,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Levofloxacin",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Cephalosporins",14,0.785714285714286,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Ceftriaxone",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Aminoglycosides",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Ceftriaxone",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Levofloxacin",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Amoxicillin",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Aminopenicillins",9,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Cefuroxime",14,0.785714285714286,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Jordan",2017,"Aminoglycosides",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Fluoroquinolones",7,0.285714285714286,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Meropenem",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Aminoglycosides",9,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Carbapenems",14,0.0714285714285714,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Levofloxacin",9,0.111111111111111,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Mexico",2017,"Aminopenicillins",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Co-amoxiclav",4,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Aminoglycosides",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Ceftriaxone",3,0.333333333333333,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Jordan",2017,"Aminopenicillins",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Levofloxacin",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Cefuroxime",7,0.857142857142857,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Taiwan",2017,"Amoxicillin",6,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Cephalosporins",9,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Levofloxacin",7,0.285714285714286,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Fluoroquinolones",2,0.5,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Aminoglycosides",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Meropenem",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Amoxicillin",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Cephalosporins",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Fluoroquinolones",26,0.0769230769230769,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Meropenem",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Aminoglycosides",5,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Cefuroxime",3,0.333333333333333,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Fluoroquinolones",9,0.555555555555556,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Meropenem",6,0.166666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Co-amoxiclav",7,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Levofloxacin",14,0.571428571428571,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Fluoroquinolones",14,0.571428571428571,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Japan",2017,"Amoxicillin",5,0.8,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Levofloxacin",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Aminoglycosides",14,0.0714285714285714,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Cephalosporins",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Canada",2017,"Aminoglycosides",10,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Carbapenems",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Cephalosporins",16,0.4375,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Co-amoxiclav",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Carbapenems",16,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Taiwan",2017,"Cefuroxime",6,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Amoxicillin",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Cephalosporins",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Levofloxacin",9,0.555555555555556,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Ceftriaxone",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Taiwan",2017,"Fluoroquinolones",6,0.5,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Aminopenicillins",9,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Fluoroquinolones",9,0.111111111111111,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Cephalosporins",9,0.222222222222222,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Amoxicillin",16,0.9375,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Belgium",2017,"Co-amoxiclav",24,0.916666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Co-amoxiclav",4,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Carbapenems",26,0.0384615384615385,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Aminopenicillins",6,0.833333333333333,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Aminopenicillins",7,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Levofloxacin",6,0.333333333333333,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Ceftriaxone",6,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Aminoglycosides",6,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Jordan",2017,"Levofloxacin",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Cephalosporins",7,0.857142857142857,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Cefuroxime",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Ceftriaxone",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Japan",2017,"Co-amoxiclav",5,0.8,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Cefuroxime",9,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Aminopenicillins",16,0.9375,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Levofloxacin",13,0.0769230769230769,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Cephalosporins",3,0.333333333333333,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Fluoroquinolones",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Meropenem",14,0.0714285714285714,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Co-amoxiclav",26,0.961538461538462,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Co-amoxiclav",14,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Ceftriaxone",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Japan",2017,"Levofloxacin",5,0.2,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Ceftriaxone",14,0.785714285714286,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Japan",2017,"Cefuroxime",5,0.4,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Cephalosporins",5,0.6,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Canada",2017,"Cephalosporins",10,0.3,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Italy",2017,"Co-amoxiclav",21,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Amoxicillin",7,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Meropenem",16,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Aminopenicillins",4,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Cefuroxime",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Taiwan",2017,"Carbapenems",6,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Fluoroquinolones",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Brazil",2017,"Amoxicillin",14,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Carbapenems",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Ceftriaxone",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Levofloxacin",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Cefuroxime",9,0.222222222222222,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Serbia",2017,"Meropenem",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Aminoglycosides",9,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Canada",2017,"Amoxicillin",10,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Cephalosporins",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Aminoglycosides",16,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Carbapenems",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Cephalosporins",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Meropenem",7,0.142857142857143,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Mexico",2017,"Amoxicillin",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Carbapenems",6,0.166666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Carbapenems",7,0.142857142857143,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Jordan",2017,"Co-amoxiclav",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Fluoroquinolones",6,0.333333333333333,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Aminoglycosides",26,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Cephalosporins",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United States",2017,"Fluoroquinolones",16,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Ceftriaxone",13,0.307692307692308,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Amoxicillin",4,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Fluoroquinolones",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Cefuroxime",26,0.346153846153846,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Ireland",2017,"Co-amoxiclav",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Japan",2017,"Ceftriaxone",5,0.4,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Amoxicillin",26,0.884615384615385,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Ireland",2017,"Fluoroquinolones",5,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Canada",2017,"Ceftriaxone",10,0.3,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Canada",2017,"Meropenem",10,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Meropenem",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Co-amoxiclav",13,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Philippines",2017,"Carbapenems",12,0.166666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Amoxicillin",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Philippines",2017,"Aminopenicillins",12,0.916666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Meropenem",5,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Japan",2017,"Carbapenems",5,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Canada",2017,"Cefuroxime",10,0.3,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Aminopenicillins",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Taiwan",2017,"Cephalosporins",6,0.833333333333333,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Aminoglycosides",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Meropenem",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Amoxicillin",9,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Mexico",2017,"Levofloxacin",4,0.5,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Australia",2017,"Co-amoxiclav",9,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Korea, South",2017,"Cefuroxime",15,0.6,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Carbapenems",5,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Ceftriaxone",5,0.6,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Aminoglycosides",7,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Italy",2017,"Meropenem",21,0.0476190476190476,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Switzerland",2017,"Fluoroquinolones",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Co-amoxiclav",6,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Italy",2017,"Aminopenicillins",21,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Cephalosporins",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","France",2017,"Ceftriaxone",37,0.540540540540541,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Latvia",2017,"Co-amoxiclav",4,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Panama",2017,"Aminoglycosides",1,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Israel",2017,"Cephalosporins",6,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Cephalosporins",26,0.384615384615385,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Amoxicillin",9,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Ceftriaxone",26,0.346153846153846,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Sweden",2017,"Levofloxacin",7,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Sweden",2017,"Ceftriaxone",7,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Spain",2017,"Levofloxacin",26,0.0769230769230769,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Netherlands",2017,"Cefuroxime",14,0.357142857142857,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Ireland",2017,"Aminopenicillins",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Russia",2017,"Co-amoxiclav",2,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Hungary",2017,"Fluoroquinolones",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Amoxicillin",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Co-amoxiclav",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Japan",2017,"Meropenem",5,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Kuwait",2017,"Aminoglycosides",16,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Philippines",2017,"Cephalosporins",12,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Kuwait",2017,"Meropenem",16,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Co-amoxiclav",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Canada",2017,"Fluoroquinolones",10,0.1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Fluoroquinolones",5,0.4,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Sweden",2017,"Aminoglycosides",7,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Sweden",2017,"Cephalosporins",7,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Aminopenicillins",4,0.75,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Aminoglycosides",4,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Thailand",2017,"Ceftriaxone",9,0.666666666666667,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Taiwan",2017,"Aminopenicillins",6,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Lithuania",2017,"Levofloxacin",2,0.5,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Korea, South",2017,"Amoxicillin",15,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Venezuela",2017,"Cefuroxime",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Venezuela",2017,"Carbapenems",2,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Levofloxacin",5,0.4,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Mexico",2017,"Fluoroquinolones",4,0.5,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Belgium",2017,"Meropenem",24,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Belgium",2017,"Aminoglycosides",24,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Mexico",2017,"Carbapenems",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","United Kingdom",2017,"Fluoroquinolones",4,0.25,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","France",2017,"Co-amoxiclav",37,0.945945945945946,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Argentina",2017,"Ceftriaxone",7,0.857142857142857,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","France",2017,"Meropenem",37,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Panama",2017,"Carbapenems",1,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Panama",2017,"Levofloxacin",1,1,0.01,"ATLAS"
